jurisdiction,name,geo_uri,wikidata_id,osm_node_id,ibge_cell_nome
BR-AC-RioBranco,Universidade Federal do Acre (UFAC),"geo:-9.9565625,-67.8649375",10387829,,200ME35058N101904
BR-AM-Manaus,Teatro Amazonas,"geo:-3.130278,-60.023333",1434444,,200ME43326N109848
BR-AP-Oiapoque,Aeroporto De Oiapoque,"geo:3.86139,-51.79611",9586256,,200ME52502N117578
BR-AP-Oiapoque,Ponte Binacional Franco-Brasileira,"geo:3.8569,-51.82561",996255,,200ME52468N117572
BR-BA-Salvador,Marco da Fundação da Cidade do Salvador,"geo:-13.002025,-38.532972",58877523,,200ME66518N98418
BR-CE-Fortaleza,Arena Castelão,"geo:-3.807267,-38.522481",958185,,200ME67098N108696
BR-DF,Palácio Nereu Ramos,"geo:-15.799717,-47.864131",4155889,,200ME56486N95664
BR-ES-Vitoria,Píer de Iemanjá,"geo:-20.292149,-40.28804",28055077,,200ME64246N90366
BR-MA-SaoLuis,Teatro Arthur Azevedo,"geo:-2.529028,-44.302476",10378807,,200ME60766N110400
BR-MT-Cuiaba,Arena Pantanal,"geo:-15.603056,-56.120556",641448,,200ME47756N95948
BR-PA-Belem,Bosque Rodrigues Alves,"geo:-1.43056,-48.4569",10305532,,200ME56178N111740
BR-PE-FernandoNoronha,Aeroporto de Fernando de Noronha,"geo:-3.854722,-32.428333",3312795,,200ME73816N108196
BR-PR-FozIguacu,Marco das Três Fronteiras,"geo:-25.5925,-54.593056",2166850,,200ME49394N84866
BR-RJ-RioJaneiro,Cristo Redentor,"geo:-22.952331,-43.210369",79961,,200ME61098N87552
BR-RN-Natal,Fortaleza dos Reis Magos,"geo:-5.756389,-35.194722",3304114,,200ME70624N106304
BR-RR-BoaVista,Aeroporto Internacional de Boa Vista,"geo:2.84139,-60.69222",597669,,200ME42428N116390
BR-RR-Uiramuta,Parque Nacional do Monte Roraima,"geo:5.20194,-60.7369",578202,,1KME4231N11893
BR-RS-SantaVitoriaPalmar,Farol da Barra do Chuí,"geo:-33.7417,-53.3736",2839542,,200ME50618N76154
BR-RS-Uraguaiana,Aeroporto Internacional de Uruguaiana,"geo:-29.78333,-57.03694",2744827,,200ME46956N80316
BR-SP-SaoPaulo,Marco Zero de São Paulo,"geo:-23.550385,-46.633956",10325364,,200ME57560N87008
